Index,SOCode,GitFile,Line
0,FinalSO.csv0.txt,FinalGit.csv0.txt,3
1,FinalSO.csv1.txt,FinalGit.csv1.txt,3
29,FinalSO.csv29.txt,FinalGit.csv29.txt,14
43,FinalSO.csv43.txt,FinalGit.csv43.txt,10
53,FinalSO.csv53.txt,FinalGit.csv53.txt,4
859,FinalSO.csv859.txt,FinalGit.csv859.txt,3
860,FinalSO.csv860.txt,FinalGit.csv860.txt,25
861,FinalSO.csv861.txt,FinalGit.csv861.txt,18
862,FinalSO.csv862.txt,FinalGit.csv862.txt,18
863,FinalSO.csv863.txt,FinalGit.csv863.txt,18
871,FinalSO.csv871.txt,FinalGit.csv871.txt,5
873,FinalSO.csv873.txt,FinalGit.csv873.txt,4
874,FinalSO.csv874.txt,FinalGit.csv874.txt,4
877,FinalSO.csv877.txt,FinalGit.csv877.txt,4
879,FinalSO.csv879.txt,FinalGit.csv879.txt,4
880,FinalSO.csv880.txt,FinalGit.csv880.txt,4
886,FinalSO.csv886.txt,FinalGit.csv886.txt,3
3747,FinalSO.csv3747.txt,FinalGit.csv3747.txt,5
3748,FinalSO.csv3748.txt,FinalGit.csv3748.txt,3
3750,FinalSO.csv3750.txt,FinalGit.csv3750.txt,4
3754,FinalSO.csv3754.txt,FinalGit.csv3754.txt,4
3764,FinalSO.csv3764.txt,FinalGit.csv3764.txt,3
3771,FinalSO.csv3771.txt,FinalGit.csv3771.txt,8
3772,FinalSO.csv3772.txt,FinalGit.csv3772.txt,5
3779,FinalSO.csv3779.txt,FinalGit.csv3779.txt,14
3780,FinalSO.csv3780.txt,FinalGit.csv3780.txt,13
3789,FinalSO.csv3789.txt,FinalGit.csv3789.txt,6
3790,FinalSO.csv3790.txt,FinalGit.csv3790.txt,6
3794,FinalSO.csv3794.txt,FinalGit.csv3794.txt,8
3795,FinalSO.csv3795.txt,FinalGit.csv3795.txt,7
3796,FinalSO.csv3796.txt,FinalGit.csv3796.txt,3
3798,FinalSO.csv3798.txt,FinalGit.csv3798.txt,17
3802,FinalSO.csv3802.txt,FinalGit.csv3802.txt,28
3812,FinalSO.csv3812.txt,FinalGit.csv3812.txt,4
3825,FinalSO.csv3825.txt,FinalGit.csv3825.txt,4
3827,FinalSO.csv3827.txt,FinalGit.csv3827.txt,5
3828,FinalSO.csv3828.txt,FinalGit.csv3828.txt,4
3832,FinalSO.csv3832.txt,FinalGit.csv3832.txt,3
3836,FinalSO.csv3836.txt,FinalGit.csv3836.txt,5
3838,FinalSO.csv3838.txt,FinalGit.csv3838.txt,11
3843,FinalSO.csv3843.txt,FinalGit.csv3843.txt,8
3844,FinalSO.csv3844.txt,FinalGit.csv3844.txt,4
3850,FinalSO.csv3850.txt,FinalGit.csv3850.txt,3
3853,FinalSO.csv3853.txt,FinalGit.csv3853.txt,11
3858,FinalSO.csv3858.txt,FinalGit.csv3858.txt,10
3859,FinalSO.csv3859.txt,FinalGit.csv3859.txt,7
3860,FinalSO.csv3860.txt,FinalGit.csv3860.txt,3
3861,FinalSO.csv3861.txt,FinalGit.csv3861.txt,3
3863,FinalSO.csv3863.txt,FinalGit.csv3863.txt,3
3868,FinalSO.csv3868.txt,FinalGit.csv3868.txt,15
3871,FinalSO.csv3871.txt,FinalGit.csv3871.txt,4
3872,FinalSO.csv3872.txt,FinalGit.csv3872.txt,12
3873,FinalSO.csv3873.txt,FinalGit.csv3873.txt,12
3874,FinalSO.csv3874.txt,FinalGit.csv3874.txt,6
3876,FinalSO.csv3876.txt,FinalGit.csv3876.txt,27
3878,FinalSO.csv3878.txt,FinalGit.csv3878.txt,3
3884,FinalSO.csv3884.txt,FinalGit.csv3884.txt,6
3887,FinalSO.csv3887.txt,FinalGit.csv3887.txt,6
3888,FinalSO.csv3888.txt,FinalGit.csv3888.txt,5
3889,FinalSO.csv3889.txt,FinalGit.csv3889.txt,5
3893,FinalSO.csv3893.txt,FinalGit.csv3893.txt,12
3896,FinalSO.csv3896.txt,FinalGit.csv3896.txt,3
3901,FinalSO.csv3901.txt,FinalGit.csv3901.txt,5
3902,FinalSO.csv3902.txt,FinalGit.csv3902.txt,22
3904,FinalSO.csv3904.txt,FinalGit.csv3904.txt,15
3909,FinalSO.csv3909.txt,FinalGit.csv3909.txt,10
3910,FinalSO.csv3910.txt,FinalGit.csv3910.txt,7
3911,FinalSO.csv3911.txt,FinalGit.csv3911.txt,35
3912,FinalSO.csv3912.txt,FinalGit.csv3912.txt,8
3913,FinalSO.csv3913.txt,FinalGit.csv3913.txt,18
3923,FinalSO.csv3923.txt,FinalGit.csv3923.txt,6
3924,FinalSO.csv3924.txt,FinalGit.csv3924.txt,3
3925,FinalSO.csv3925.txt,FinalGit.csv3925.txt,3
3939,FinalSO.csv3939.txt,FinalGit.csv3939.txt,4
3943,FinalSO.csv3943.txt,FinalGit.csv3943.txt,4
3944,FinalSO.csv3944.txt,FinalGit.csv3944.txt,4
3945,FinalSO.csv3945.txt,FinalGit.csv3945.txt,7
3952,FinalSO.csv3952.txt,FinalGit.csv3952.txt,4
3953,FinalSO.csv3953.txt,FinalGit.csv3953.txt,4
3956,FinalSO.csv3956.txt,FinalGit.csv3956.txt,23
3959,FinalSO.csv3959.txt,FinalGit.csv3959.txt,3
3962,FinalSO.csv3962.txt,FinalGit.csv3962.txt,29
3963,FinalSO.csv3963.txt,FinalGit.csv3963.txt,7
3966,FinalSO.csv3966.txt,FinalGit.csv3966.txt,6
3968,FinalSO.csv3968.txt,FinalGit.csv3968.txt,10
3970,FinalSO.csv3970.txt,FinalGit.csv3970.txt,3
3973,FinalSO.csv3973.txt,FinalGit.csv3973.txt,11
3974,FinalSO.csv3974.txt,FinalGit.csv3974.txt,11
3976,FinalSO.csv3976.txt,FinalGit.csv3976.txt,3
3979,FinalSO.csv3979.txt,FinalGit.csv3979.txt,3
3981,FinalSO.csv3981.txt,FinalGit.csv3981.txt,7
3982,FinalSO.csv3982.txt,FinalGit.csv3982.txt,7
3983,FinalSO.csv3983.txt,FinalGit.csv3983.txt,7
3986,FinalSO.csv3986.txt,FinalGit.csv3986.txt,4
3987,FinalSO.csv3987.txt,FinalGit.csv3987.txt,4
3988,FinalSO.csv3988.txt,FinalGit.csv3988.txt,4
3989,FinalSO.csv3989.txt,FinalGit.csv3989.txt,5
3991,FinalSO.csv3991.txt,FinalGit.csv3991.txt,5
3993,FinalSO.csv3993.txt,FinalGit.csv3993.txt,4
3994,FinalSO.csv3994.txt,FinalGit.csv3994.txt,8
4074,FinalSO.csv4074.txt,FinalGit.csv4074.txt,4
4090,FinalSO.csv4090.txt,FinalGit.csv4090.txt,3
4095,FinalSO.csv4095.txt,FinalGit.csv4095.txt,3
4112,FinalSO.csv4112.txt,FinalGit.csv4112.txt,4
4117,FinalSO.csv4117.txt,FinalGit.csv4117.txt,10
4156,FinalSO.csv4156.txt,FinalGit.csv4156.txt,12
4157,FinalSO.csv4157.txt,FinalGit.csv4157.txt,6
4159,FinalSO.csv4159.txt,FinalGit.csv4159.txt,8
4160,FinalSO.csv4160.txt,FinalGit.csv4160.txt,20
4169,FinalSO.csv4169.txt,FinalGit.csv4169.txt,20
4170,FinalSO.csv4170.txt,FinalGit.csv4170.txt,20
4172,FinalSO.csv4172.txt,FinalGit.csv4172.txt,6
4173,FinalSO.csv4173.txt,FinalGit.csv4173.txt,12
4174,FinalSO.csv4174.txt,FinalGit.csv4174.txt,5
4181,FinalSO.csv4181.txt,FinalGit.csv4181.txt,5
4185,FinalSO.csv4185.txt,FinalGit.csv4185.txt,5
4187,FinalSO.csv4187.txt,FinalGit.csv4187.txt,3
4985,FinalSO.csv4985.txt,FinalGit.csv4985.txt,15
4986,FinalSO.csv4986.txt,FinalGit.csv4986.txt,15
4987,FinalSO.csv4987.txt,FinalGit.csv4987.txt,5
4988,FinalSO.csv4988.txt,FinalGit.csv4988.txt,5
5035,FinalSO.csv5035.txt,FinalGit.csv5035.txt,4
5036,FinalSO.csv5036.txt,FinalGit.csv5036.txt,65
5039,FinalSO.csv5039.txt,FinalGit.csv5039.txt,78
5040,FinalSO.csv5040.txt,FinalGit.csv5040.txt,33
5044,FinalSO.csv5044.txt,FinalGit.csv5044.txt,3
5053,FinalSO.csv5053.txt,FinalGit.csv5053.txt,9
5054,FinalSO.csv5054.txt,FinalGit.csv5054.txt,13
5056,FinalSO.csv5056.txt,FinalGit.csv5056.txt,3
5058,FinalSO.csv5058.txt,FinalGit.csv5058.txt,7
5064,FinalSO.csv5064.txt,FinalGit.csv5064.txt,14
5065,FinalSO.csv5065.txt,FinalGit.csv5065.txt,3
5066,FinalSO.csv5066.txt,FinalGit.csv5066.txt,3
5071,FinalSO.csv5071.txt,FinalGit.csv5071.txt,4
5073,FinalSO.csv5073.txt,FinalGit.csv5073.txt,4
5078,FinalSO.csv5078.txt,FinalGit.csv5078.txt,19
5079,FinalSO.csv5079.txt,FinalGit.csv5079.txt,7
5080,FinalSO.csv5080.txt,FinalGit.csv5080.txt,3
5081,FinalSO.csv5081.txt,FinalGit.csv5081.txt,16
5082,FinalSO.csv5082.txt,FinalGit.csv5082.txt,16
5086,FinalSO.csv5086.txt,FinalGit.csv5086.txt,8
5088,FinalSO.csv5088.txt,FinalGit.csv5088.txt,3
5093,FinalSO.csv5093.txt,FinalGit.csv5093.txt,4
5098,FinalSO.csv5098.txt,FinalGit.csv5098.txt,3
5099,FinalSO.csv5099.txt,FinalGit.csv5099.txt,3
5100,FinalSO.csv5100.txt,FinalGit.csv5100.txt,17
5101,FinalSO.csv5101.txt,FinalGit.csv5101.txt,3
5104,FinalSO.csv5104.txt,FinalGit.csv5104.txt,7
5105,FinalSO.csv5105.txt,FinalGit.csv5105.txt,8
5121,FinalSO.csv5121.txt,FinalGit.csv5121.txt,17
5122,FinalSO.csv5122.txt,FinalGit.csv5122.txt,8
5124,FinalSO.csv5124.txt,FinalGit.csv5124.txt,5
,,,9.085526316
